name,category,type,latitude,longitude
El Taco Borracho,amenity,fast_food,30.4278125,-97.6640087
Sonic,amenity,fast_food,30.24570753759528,-97.78001443396431
Serranos Cocina y Cantina,amenity,restaurant,30.472648644981838,-97.8018340048044
Applebee's,amenity,restaurant,30.47212071826265,-97.79961115653663
Pluckers Wing Bar,amenity,restaurant,30.468470696394544,-97.80356725701026
Chili's,amenity,restaurant,30.467420921516037,-97.80385066029478
Fuddruckers,amenity,restaurant,30.467025637412984,-97.80499414872484
Foxhole Culinary Tavern,amenity,restaurant,30.4744287182429,-97.79828273652323
IHOP,amenity,restaurant,30.467598269241968,-97.79522674537571
Chick-fil-A,amenity,fast_food,30.469333,-97.79117730000002
Whataburger,amenity,fast_food,30.469560756430287,-97.79064417074343
Walmart Supercenter,shop,supermarket,30.467084491048922,-97.78928289146842
Freda's Seafood Grille,amenity,restaurant,30.46398868252405,-97.80385708215101
McDonald's,amenity,fast_food,30.46548443747276,-97.80316127580089
Olive Garden,amenity,restaurant,30.465931368887492,-97.80200791781735
Church's Chicken,amenity,fast_food,30.459307326999536,-97.79217940682449
7-Eleven,shop,convenience,30.461315650000003,-97.79271259999999
H-E-B,shop,supermarket,30.441460405069332,-97.74252760326645
H-E-B,shop,supermarket,30.43420201975423,-97.77264141843393
Jack in the Box,amenity,fast_food,30.43522153184952,-97.76838036238657
H-E-B plus!,shop,supermarket,30.453645649658093,-97.82522349162855
Mozart's Coffee Roasters,amenity,cafe,30.295439419759017,-97.7842520710986
Garbo's,amenity,restaurant,30.423703732464404,-97.70208610407877
Taco Cabana,amenity,fast_food,30.4206850899771,-97.70269744471432
H-E-B,shop,supermarket,30.417470437523317,-97.70279654509964
Wendy's,amenity,fast_food,30.41863709208335,-97.7035981485837
Chick-fil-A,amenity,fast_food,30.419034074284802,-97.70331163854988
La Tapatia,amenity,restaurant,30.4464107,-97.79030625
The Coffee Bean & Tea Leaf,amenity,cafe,30.445840585360244,-97.79013406134524
Burger King,amenity,fast_food,30.447811889798057,-97.79110455469365
,amenity,restaurant,30.44488909281943,-97.78896041351102
Taco Cabana,amenity,fast_food,30.443774098435334,-97.7872989385899
KFC,amenity,fast_food,30.44816758207369,-97.78927548048726
Main Event,amenity,restaurant,30.445561745592624,-97.78453695339081
Cheddar's,amenity,restaurant,30.446043921299303,-97.78774959515168
Cover 2,amenity,restaurant,30.457187195731564,-97.79138927022609
H-E-B,shop,supermarket,30.404463168454445,-97.85152677661215
County Line on the Lake,amenity,restaurant,30.35705038426933,-97.78561717099899
Walmart Supercenter,shop,supermarket,30.16505707495664,-97.79055297072517
H-E-B,shop,supermarket,30.39852452341718,-97.74834737598734
China Star Buffet,amenity,restaurant,30.323141026077874,-97.70376245251623
Pappadeaux,amenity,restaurant,30.325386950632982,-97.70478574539354
Seareinas,amenity,restaurant,30.32766170839721,-97.7041210873782
Chili's,amenity,restaurant,30.32785965,-97.70485945
Japon Sushi,amenity,restaurant,30.32881707792016,-97.70486480718479
Maudie's Tex Mex,amenity,restaurant,30.28283930543232,-97.77559739787812
H-E-B,shop,supermarket,30.202661858190748,-97.87660288589078
Wheatsville Food Co-op,shop,supermarket,30.29762262501824,-97.74104830143162
,amenity,fast_food,30.299064698578842,-97.72016896208389
Jo's Coffee Red River,amenity,cafe,30.299833900000003,-97.7219121
Bush's Chicken,amenity,fast_food,30.185787389036694,-97.84775452581943
Taco Bell,amenity,fast_food,30.1825336781472,-97.84664620716802
Starbucks,amenity,cafe,30.182763572057866,-97.84700666384252
Whataburger,amenity,fast_food,30.182976573899243,-97.84743594164664
Whataburger,amenity,fast_food,30.166140374633077,-97.78799101756599
,amenity,cafe,30.202393467459714,-97.80629214253595
Beto’s,amenity,restaurant,30.20320207034881,-97.8057239421471
Church's Chicken,amenity,fast_food,30.202433609869185,-97.80659617405604
P.F. Chang's,amenity,restaurant,30.263774200000007,-97.7413891
Food Basket,shop,convenience,30.407764100000005,-97.69637520000002
Pond Springs Food Mart,shop,convenience,30.45046142514415,-97.78602914187728
Jim's,amenity,restaurant,30.434346516702938,-97.77143627237906
P. Terry's,amenity,fast_food,30.424904026678334,-97.75196147997687
IHOP,amenity,restaurant,30.41652012746645,-97.7473321147304
Rudy's Country Store & Bar-B-Q,amenity,restaurant,30.4141579348332,-97.74697844547921
Schlotzsky's,amenity,fast_food,30.40756175161517,-97.74584991168979
Manuel's,amenity,restaurant,30.396735783753286,-97.74930352865478
Romano's Macaroni Grill,amenity,restaurant,30.39454304934379,-97.74758061660229
Panda Express,amenity,fast_food,30.453229732916682,-97.82720962134096
7-Eleven,shop,convenience,30.455559554640306,-97.82470891519056
P. Terry's,amenity,fast_food,30.461164833440446,-97.79534192485816
7-Eleven,shop,convenience,30.416371357950357,-97.74542113263895
Pappadeux's Seafood Kitchen,amenity,restaurant,30.41469287026057,-97.7449763926084
Chick-fil-A,amenity,fast_food,30.401116754892755,-97.74496232349256
Saltgrass Steak House,amenity,restaurant,30.397648880510125,-97.74707606685891
Marie Callender's,amenity,restaurant,30.385981088512377,-97.74163177339076
Taco Cabana,amenity,fast_food,30.388304519022412,-97.74298926519833
Buca di Beppo,amenity,restaurant,30.384572050000003,-97.73691905000001
Jim's Restaurant,amenity,restaurant,30.37450783079611,-97.72775778721386
7-Eleven,shop,convenience,30.374442814796453,-97.72677307608761
Citgo,shop,convenience,30.364379,-97.71535259999999
Church's Chicken,amenity,fast_food,30.3607951,-97.71631935
,amenity,restaurant,30.359328179073106,-97.71592984283694
Mi Pueblito Food Mart,shop,supermarket,30.355498501953484,-97.71476163193502
La Familia Market,shop,convenience,30.360620349999994,-97.71752665
Sugar Pine,amenity,cafe,30.361804876902553,-97.7176544618064
Mi Lindo Jalisco,amenity,restaurant,30.362376232408153,-97.71780917063012
Pronto,shop,convenience,30.3626504914708,-97.71792318762762
Arby's,amenity,fast_food,30.363367741554015,-97.71816493631113
El Pollo Rico,amenity,restaurant,30.363642999644956,-97.71835321731521
Trudy's,amenity,restaurant,30.37061990610817,-97.7276050388528
Eddie V's,amenity,restaurant,30.38960019883182,-97.75301767855376
Burger King,amenity,fast_food,30.397127611667653,-97.73424896476638
The Boat,amenity,restaurant,30.397723910677637,-97.73339376749531
7-Eleven,shop,convenience,30.40965489276058,-97.71552797452544
Waterloo Icehouse,amenity,restaurant,30.367959639893407,-97.7282020321292
DQ Grill & Chill,amenity,fast_food,30.363207316509104,-97.72947923841751
McDonald's,amenity,fast_food,30.399161772690476,-97.74689379041598
Taco Bell,amenity,fast_food,30.400235161350746,-97.74727822383997
Chuy's,amenity,restaurant,30.418557131831935,-97.74779630493092
Brick House Tavern,amenity,restaurant,30.41790254704497,-97.74764493212157
7-Eleven,shop,convenience,30.416484683884054,-97.74818945285882
Pour House,amenity,restaurant,30.4228928863625,-97.75532517452453
Sonic,amenity,fast_food,30.423967810219224,-97.75590341034307
P.F. Chang's,amenity,restaurant,30.395526796938118,-97.75033808972469
Siena Ristorante Toscana,amenity,restaurant,30.36023833812657,-97.78889150630258
Truluck's Seafood Steak & Crab,amenity,restaurant,30.39539812222734,-97.7453694139631
Happy Chicks,amenity,fast_food,30.39799377433155,-97.74551365805956
Pacific Star Restaurant & Oyster Bar,amenity,restaurant,30.450607022183902,-97.79001504667156
Schlotzsky's,amenity,fast_food,30.46839301083233,-97.7944020339507
7-Eleven,shop,convenience,30.45533001813379,-97.82722495094421
Falafel Burger,amenity,restaurant,30.4547096140642,-97.82739895947739
Firehouse Lounge & Hostel,amenity,bar,30.26816506148084,-97.74106358706759
Dirty Bill's,amenity,bar,30.269623449999997,-97.74940194999999
Ranch 616,amenity,restaurant,30.270356472878014,-97.74848790917851
Walton's Fancy & Staple,amenity,restaurant,30.269543650000003,-97.74902575
The Dogwood,amenity,bar,30.269859162788368,-97.75032828434679
Concrete Cowboy,amenity,bar,30.27000612216869,-97.75042020803474
Green Light Social,amenity,bar,30.270398905742173,-97.7500810193651
Star Bar,amenity,bar,30.26995606631014,-97.74854191272016
Parlor and Yard,amenity,restaurant,30.26951491972812,-97.74872936329128
Hoffbrau Steaks,amenity,restaurant,30.269675621683987,-97.74919101641596
Whiskey Tango Foxtrot Icehouse,amenity,bar,30.269822327665477,-97.74985695528714
Culver's,amenity,fast_food,30.213857716375347,-97.82928465046504
Aussie's Grill and Beach Bar,amenity,restaurant,30.259078974929242,-97.74826572420322
Curra's Hyde Park,amenity,restaurant,30.3043406797586,-97.72600932549145
7-Eleven,shop,convenience,30.386364951179093,-97.69476058761201
Baby Acapulco,amenity,restaurant,30.386688547391717,-97.73771000905938
7-Eleven,shop,convenience,30.391838250000006,-97.72122695000002
Food Mart,shop,convenience,30.389965213179288,-97.71981827114588
Taco Bell,amenity,fast_food,30.39123637652561,-97.72014361696219
Wienerschnitzel,amenity,fast_food,30.391036249650416,-97.71955441526192
Ichiban,amenity,restaurant,30.349212199999993,-97.73588515
Mimi's Cafe,amenity,restaurant,30.385870645975608,-97.73430969600544
McDonald's,amenity,fast_food,30.391436049774267,-97.72064396347511
Texas Roadhouse,amenity,restaurant,30.446988542964114,-97.78865505591419
OneTaco Taquería,amenity,fast_food,30.462287650000007,-97.81474029999998
Randalls 2490,shop,supermarket,30.402165736361603,-97.74729520179
Randalls 2485,shop,supermarket,30.229197246416938,-97.79016022404194
Randalls 2482,shop,supermarket,30.371493392569135,-97.75834874156669
Randalls,shop,supermarket,30.335372989934342,-97.75802402892135
Randalls 2471,shop,supermarket,30.304236002761044,-97.76403035545047
Randalls,shop,supermarket,30.184079194729723,-97.84763761271857
Rudy's Country Store and Bar-B-Q,amenity,restaurant,30.410569499999998,-97.84936415000001
Taco Bell,amenity,fast_food,30.407763617548895,-97.8510306368463
McDonald's,amenity,fast_food,30.407308748700416,-97.85120326512528
Speedy Stop,shop,convenience,30.403429949999996,-97.85494444999998
Thundercloud Subs,amenity,fast_food,30.403127663010444,-97.85496432316299
Mighty Fine,amenity,fast_food,30.402739450000002,-97.8549098
Smokey J's BBQ,amenity,fast_food,30.403904341716586,-97.85477481984782
Taco Bell,amenity,fast_food,30.486591299999997,-97.77011044999999
McDonald's,amenity,fast_food,30.496271427580485,-97.77547489957475
Moonshine Grill,amenity,restaurant,30.497022835546577,-97.77602666385312
Bob's Steak & Chop House,amenity,restaurant,30.26609214593997,-97.74592116386167
Sammie's,amenity,restaurant,30.27024301312676,-97.75115752385149
Shoal Creek Saloon,amenity,restaurant,30.27427087432616,-97.75231176174401
Fresa's,amenity,fast_food,30.2744562,-97.7522018
Manpasand Supermarket,shop,supermarket,30.410585488908737,-97.67174920671397
Walmart Supercenter,shop,supermarket,30.413662593282112,-97.67644725242693
Schlotzsky's,amenity,fast_food,30.356355999999998,-97.7322813
7-Eleven,shop,convenience,30.35606549432029,-97.73185396564648
Starbucks,amenity,cafe,30.35987155,-97.73789810000001
GattiTown Buffet & Gameroom,amenity,fast_food,30.156939453805872,-97.79273971067589
Starbucks,amenity,cafe,30.41880794535059,-97.70269483127801
H-E-B,shop,supermarket,30.442691389586923,-97.66411544888173
McDonald's,amenity,fast_food,30.43928650863032,-97.69769345135072
Taco Bell,amenity,fast_food,30.413692684455704,-97.69280490450163
Walmart Supercenter,shop,supermarket,30.23222543618729,-97.82334294860223
Polvos Interior Mexican Cuisine,amenity,restaurant,30.25396139314537,-97.80736694224879
Thundercloud Subs,amenity,fast_food,30.25512090406921,-97.74530148319676
Walmart Supercenter,shop,supermarket,30.221066547420175,-97.7539968383013
La Mancha,amenity,restaurant,30.322495599999996,-97.74089129999999
Tres Amigos Restaurant,amenity,restaurant,30.323989310239742,-97.67462786802253
Popeyes,amenity,fast_food,30.367918284681163,-97.69375322009917
Wendy's,amenity,fast_food,30.3674985,-97.69400064999999
La Hacienda Market,shop,supermarket,30.37012654933437,-97.69356458285822
,amenity,restaurant,30.367475980922396,-97.69529316753727
Whataburger,amenity,fast_food,30.36531625106677,-97.6962313674764
Taco Bell,amenity,fast_food,30.3648025,-97.69667084999999
McDonald's,amenity,fast_food,30.364109299448003,-97.69696626614021
Burger King,amenity,fast_food,30.36519365,-97.69542245
Starbucks,amenity,cafe,30.217677517052692,-97.68980556762533
7-Eleven,shop,convenience,30.217908687676886,-97.688983981986
Waffle House,amenity,restaurant,30.218476130683204,-97.68808467269554
Quality Seafood,amenity,restaurant,30.318084724539627,-97.71225897666355
Rain on 4th,amenity,bar,30.26653799566393,-97.74565862716786
,shop,convenience,30.330135951228456,-97.71507928636596
ChoSun Galbi,amenity,restaurant,30.329912250000003,-97.70657034999998
7-Eleven,shop,convenience,30.332861788172494,-97.70529394417423
Wendy's,amenity,fast_food,30.321161318305496,-97.71413830485267
Panda Express,amenity,fast_food,30.321498466446435,-97.71441646212695
Starbucks,amenity,cafe,30.335978150000003,-97.71756395000001
Han Yang Market,shop,supermarket,30.336226045790568,-97.72108819759073
Roaring Fork,amenity,restaurant,30.400883459754954,-97.73781463235258
Whataburger,amenity,fast_food,30.358675294542337,-97.73705791617628
Golden Corral,amenity,restaurant,30.409353962488808,-97.67716670130231
Whataburger,amenity,fast_food,30.22024379159319,-97.83525381929546
Starbucks,amenity,cafe,30.23248418530245,-97.87406926166832
McDonald's,amenity,fast_food,30.23525294965814,-97.87585220066424
Jim's,amenity,restaurant,30.234334948336134,-97.87647482187323
Golden Chick,amenity,fast_food,30.234581688392826,-97.87677826597601
Jack in the Box,amenity,fast_food,30.38301568395819,-97.72363976545543
Turnstile,amenity,restaurant,30.384041150522698,-97.72332227816742
Einstein Bros. Bagels,amenity,fast_food,30.361239556633247,-97.74042632043016
Panera Bread,amenity,fast_food,30.475100446215567,-97.79860338246152
7-Eleven,shop,convenience,30.477135238665632,-97.76604432653028
Circle K,shop,convenience,30.213661633058674,-97.65861436129524
H-E-B,shop,supermarket,30.18871693744621,-97.7687490953785
H-E-B,shop,supermarket,30.33430895167554,-97.74115071748443
H-E-B,shop,supermarket,30.312059301339463,-97.66475008202192
Jack in the Box,amenity,fast_food,30.356265632479953,-97.7304127582566
Panda Express,amenity,fast_food,30.354098030501714,-97.73256671603673
Sonic,amenity,fast_food,30.35383786575651,-97.73275195693782
Sunrise Mini-Mart,shop,convenience,30.349543576564475,-97.73439428602543
Bill Miller BBQ,amenity,restaurant,30.359462136857307,-97.72955104682555
Burnet Express,shop,convenience,30.365065100000002,-97.72909599999998
Crestview Express,shop,convenience,30.35371512688349,-97.72646273311162
Enchiladas Y Mas,amenity,restaurant,30.353921928305496,-97.72690502639063
Food Mart,shop,convenience,30.35305473240057,-97.7234839077935
Star Stop,shop,convenience,30.362427052955898,-97.72966172070933
McDonald's,amenity,fast_food,30.358117949999997,-97.73096389999999
Sunrise Mini Mart,shop,convenience,30.353158599999997,-97.72550820000001
